year,subtotal_group,revised_name,gross_expenditure,net_expenditure,property_tax_levy,avg_cpi,inflation_factor,inflation_adjusted_gross,inflation_adjusted_net,inflation_adjusted_levy,inflation_adjusted_levy_2017,gross_expenditure_normalized,inflation_adjusted_gross_normalised,property_tax_levy_normalized,inflation_adjusted_levy_normalized
2019,Total Associated Agencies,Waterloo Regional Police Services,187056,187056,169534,137.49166666666667,1.1108772432489022,207796.25361316666,207796.25361316666,188331.4625569594,180459.78964059197,1,1,1.0881375078625435,1.0436200936066966
2020,Total Associated Agencies,Waterloo Regional Police Services,200143,200143,180123,138.36666666666667,1.1038523028404985,220928.3114474059,220928.3114474059,198829.1883445391,180459.78964059197,1.0699630057309042,1.063196797853179,1.1561019755843955,1.1017921983646999
2021,Total Associated Agencies,Waterloo Regional Police Services,206889,201232,185387,143.175,1.0667809578233884,220705.245583123,214670.4657047161,197767.3214280045,180459.78964059197,1.1060270721067489,1.0621233142825939,1.1898884481585603,1.0959079683173887
2022,Total Associated Agencies,Waterloo Regional Police Services,219228,212759,195761,152.73636363636365,1,219228,212759,195761,180459.78964059197,1.171991275340005,1.0550142083317569,1.2564729592688155,1.0847901374033644
2017,Total Chief Administrator’s Office,Chief Administrator's Office,,1256,1256,131.86666666666667,1.1582636271716151,,1454.7791157275485,1454.7791157275485,1454.7791157275485,,,1,1
2018,Total Chief Administrator’s Office,Chief Administrator's Office,,1264,1264,134.96666666666667,1.1316598935764162,,1430.41810548059,1430.41810548059,1454.7791157275485,,,1.0063694267515924,0.9832544954876016
2019,Total Chief Administrator’s Office,Chief Administrator's Office,1451,1311,1311,137.49166666666667,1.1108772432489022,1611.8828799541573,1456.360065899311,1456.360065899311,1454.7791157275485,1,1,1.0437898089171975,1.0010867286687517
2020,Total Chief Administrator’s Office,Chief Administrator's Office,1460,1320,1320,138.36666666666667,1.1038523028404985,1611.6243621471278,1457.085039749458,1457.085039749458,1454.7791157275485,1.0062026188835287,0.9998396174993578,1.0509554140127388,1.0015850681364478
2021,Total Chief Administrator’s Office,Chief Administrator's Office,8885,7505,7071,143.175,1.0667809578233884,9478.348810260806,8006.19108846453,7543.20815276918,1454.7791157275485,6.123363197794625,5.880296222595512,5.629777070063694,5.185122656230016
2022,Total Chief Administrator’s Office,Chief Administrator's Office,8458,7078,4439,152.73636363636365,1,8458,7078,4439,1454.7791157275485,5.82908339076499,5.247279504724655,3.534235668789809,3.0513223292870926
2017,Total Community Services,Children's Services,,50765,8892,131.86666666666667,1.1582636271716151,,58799.253033367044,10299.280172810002,10299.280172810002,,,1,1
2018,Total Community Services,Children's Services,,65475,8972,134.96666666666667,1.1316598935764162,,74095.43153191585,10153.252565167606,10299.280172810002,,,1.0089968511021143,0.98582157148924765
2019,Total Community Services,Children's Services,64498,64513,8969,137.49166666666667,1.1108772432489022,71649.36043506769,71666.02359371643,9963.457994699404,10299.280172810002,1,1,1.008659469185785,0.9673936263043736
2020,Total Community Services,Children's Services,69355,69365,8772,138.36666666666667,1.1038523028404985,76557.67646350278,76568.71498653118,9682.992400516852,10299.280172810002,1.0753046606096313,1.0685046732954895,0.9865047233468286,0.9401620538569149
2021,Total Community Services,Children's Services,72531,72520,8156,143.175,1.0667809578233884,77374.68965188818,77362.95506135213,8700.665492007556,10299.280172810002,1.124546497565816,1.0799076109270938,0.9172289698605488,0.8447838437269847
2022,Total Community Services,Children's Services,70895,70899,7734,152.73636363636365,1,70895,70899,7734,10299.280172810002,1.0991813699649602,0.9894714979940215,0.8697705802968961,0.7509262657421131
2017,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,,1349,717,131.86666666666667,1.1582636271716151,,1562.4976330545087,830.475020682048,830.475020682048,,,1,1
2018,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,,1582,931,134.96666666666667,1.1316598935764162,,1790.2859516378903,1053.5753609196433,830.475020682048,,,1.298465829846583,1.2686418431398077
